Photo,Temp,Class
1330,78.5,On
1326,79.08,On
1311,78.97,On
1318,79.05,On
1295,79.01,On
1307,79.05,On
1305,78.57,On
1296,79.01,On
1270,78.94,On
1285,79.01,On
1263,78.97,On
1276,78.97,On
1247,78.97,On
1261,78.97,On
1238,78.97,On
1253,78.97,On
1225,78.94,On
1240,78.94,On
1214,78.94,On
1231,78.94,On
1200,78.86,On
1220,78.94,On
1198,78.94,On
1232,78.43,On
1187,78.94,On
1209,78.97,On
1181,78.9,On
1204,78.97,On
1179,78.94,On
1200,78.97,On
1179,79.01,On
1245,78.46,On
1178,78.94,On
1207,78.94,On
1188,79.01,On
1213,78.86,On
1191,79.01,On
1217,78.97,On
1201,78.94,On
1229,78.94,On
1211,79.01,On
1237,78.94,On
1224,78.97,On
1251,78.94,On
1237,78.94,On
1260,78.97,On
1253,78.97,On
1275,78.9,On
1309,78.35,On
1289,78.97,On
1283,78.97,On
1305,78.94,On
1295,79.01,On
1319,79.05,On
1312,78.94,On
1333,79.01,On
1323,79.01,On
1347,78.94,On
1339,78.94,On
1357,78.97,On
1345,78.97,On
1361,79.05,On
1355,79.01,On
1370,78.97,On
1358,79.01,On
1375,78.97,On
1366,78.97,On
1377,79.05,On
1364,79.01,On
1378,78.97,On
1365,79.01,On
1376,79.05,On
1369,78.75,On
1404,78.5,On
1360,78.97,On
1368,78.94,On
1349,79.01,On
1358,78.97,On
1344,79.01,On
1351,78.97,On
1328,79.01,On
1345,78.68,On
1320,79.01,On
1328,79.01,On
1303,79.01,On
1311,78.97,On
1309,78.5,On
1301,79.01,On
1277,78.97,On
1287,78.94,On
1267,78.94,On
1311,78.39,On
1251,78.97,On
1273,78.43,On
1239,78.94,On
1253,78.94,On
1221,79.01,On
1239,78.94,On
1214,78.97,On
1228,78.94,On
1203,79.01,On
1218,79.01,On
1196,78.9,On
1234,78.5,On
1186,78.94,On
1206,78.94,On
1180,78.86,On
1205,78.94,On
1174,78.9,On
1200,78.94,On
1176,78.9,On
1219,78.46,On
1175,78.94,On
1202,78.97,On
1181,78.9,On
1206,79.08,On
1182,78.9,On
1213,78.97,On
1216,78.43,On
1220,78.97,On
1202,78.94,On
1229,78.94,On
1215,78.97,On
1241,78.94,On
1228,78.61,On
1253,78.94,On
1238,78.94,On
1264,78.97,On
1251,78.94,On
1278,78.79,On
1273,79.01,On
1290,78.94,On
1276,78.94,On
1301,78.83,On
1293,79.05,On
1316,79.01,On
1310,78.72,On
1356,78.43,On
1319,79.01,On
1337,78.97,On
1325,78.97,On
1343,79.01,On
1336,79.01,On
1385,78.46,On
1341,79.01,On
1358,78.72,On
1345,78.9,On
1357,79.05,On
1347,78.68,On
1354,79.08,On
1342,78.97,On
1359,78.72,On
1335,79.01,On
1345,78.9,On
1336,78.72,On
1340,79.01,On
1320,78.97,On
1357,78.43,On
1313,78.97,On
1319,78.97,On
1301,78.97,On
1308,78.97,On
1305,78.39,On
1299,78.97,On
1304,78.39,On
1286,78.94,On
1259,78.9,On
1275,78.9,On
1244,78.9,On
1261,78.97,On
1235,78.94,On
1245,78.94,On
1216,78.9,On
1232,78.9,On
1213,78.61,On
1223,78.94,On
1194,78.9,On
1218,78.64,On
1183,79.01,On
1203,78.94,On
1172,78.86,On
1193,78.86,On
1209,78.28,On
1210,78.46,On
1158,78.94,On
1221,78.28,On
1154,78.9,On
1178,78.9,On
1183,78.32,On
1173,78.9,On
1145,78.94,On
1174,78.94,On
1144,78.86,On
1175,78.9,On
1150,78.9,On
1179,78.86,On
1161,78.43,On
1187,78.97,On
1163,78.86,On
1194,78.9,On
1169,78.86,On
1201,78.97,On
1192,78.64,On
1215,78.97,On
1196,78.94,On
1258,78.35,On
1215,78.79,On
1241,78.9,On
1226,78.83,On
1255,78.9,On
1247,78.9,On
1273,79.01,On
1260,78.94,On
1285,78.94,On
1298,78.53,On
1303,78.97,On
1291,78.94,On
1346,78.43,On
1312,79.01,On
1333,79.01,On
1322,78.97,On
1359,78.46,On
1337,79.01,On
1367,78.53,On
1344,79.01,On
1361,79.01,On
1353,79.01,On
1367,78.97,On
1354,78.94,On
1367,78.97,On
1356,79.01,On
1368,78.97,On
1351,78.97,On
1391,78.35,On
1349,78.94,On
1361,79.01,On
1341,78.97,On
1349,79.01,On
1332,79.01,On
1343,79.01,On
1320,78.97,On
1330,78.94,On
1310,78.94,On
1322,79.16,On
1309,78.43,On
1307,79.01,On
1284,78.94,On
1296,78.97,On
1270,78.94,On
1315,78.39,On
1258,78.86,On
1271,79.01,On
1240,78.94,On
1273,78.46,On
1231,78.79,On
1245,78.94,On
1219,78.94,On
1235,78.94,On
1207,78.94,On
1245,78.46,On
1196,78.94,On
1216,78.9,On
1189,78.94,On
1209,78.9,On
1186,78.72,On
1236,78.32,On
1173,78.94,On
1197,78.94,On
1165,78.94,On
1206,78.46,On
1164,78.9,On
1187,78.9,On
1175,78.46,On
1184,78.94,On
1159,78.94,On
1181,78.94,On
1155,78.86,On
1183,79.01,On
1173,78.39,On
1181,78.97,On
1156,78.83,On
1219,78.32,On
1160,78.83,On
1187,78.94,On
1161,78.86,On
1209,78.5,On
1173,78.94,On
1198,79.01,On
1174,78.79,On
1205,78.94,On
1187,78.9,On
1215,78.97,On
1191,78.94,On
1217,78.97,On
1198,78.97,On
1221,78.94,On
1194,78.94,On
1218,78.97,On
1200,79.01,On
1218,78.9,On
1225,78.39,On
1215,78.97,On
1191,79.01,On
1226,78.46,On
1183,79.01,On
1209,78.94,On
1183,78.94,On
1205,78.94,On
1178,78.94,On
1204,79.01,On
1183,78.9,On
1205,79.01,On
1177,78.9,On
1205,78.97,On
1183,78.9,On
1209,79.01,On
1215,78.32,On
1208,78.94,On
1193,78.94,On
1226,78.43,On
1186,78.9,On
1211,78.94,On
1190,78.94,On
1214,78.97,On
1183,78.97,On
1208,78.94,On
1206,78.53,On
1211,79.01,On
1178,78.9,On
1205,78.83,On
1198,78.43,On
1207,78.9,On
1177,78.97,On
1203,78.94,On
1181,78.97,On
1220,78.5,On
1181,78.94,On
1209,78.97,On
1185,78.94,On
1211,78.94,On
1186,78.97,On
1208,78.94,On
1189,78.9,On
1228,78.5,On
1186,78.97,On
1210,78.97,On
1187,78.94,On
1211,78.97,On
1183,78.86,On
1205,79.01,On
1205,78.5,On
1240,78.35,On
1181,78.9,On
1204,78.94,On
1183,78.9,On
1206,78.97,On
1180,78.9,On
1207,78.97,On
1185,78.9,On
1209,78.97,On
1185,78.9,On
1242,78.28,On
1229,78.39,On
1213,78.86,On
1183,78.83,On
1209,78.9,On
1206,78.5,On
1228,78.5,On
1180,78.94,On
1207,78.97,On
1183,78.97,On
1206,78.97,On
1180,78.94,On
1204,78.9,On
1185,78.9,On
1207,78.9,On
1181,78.97,On
1240,78.35,On
1185,78.94,On
1210,79.16,On
1184,78.94,On
1208,78.94,On
1188,79.01,On
1211,78.97,On
1201,78.43,On
1211,78.97,On
1189,78.9,On
1208,78.97,On
1182,78.9,On
1208,78.94,On
1185,78.9,On
1207,78.94,On
1181,79.05,On
1241,78.35,On
1185,78.9,On
1208,78.94,On
1180,78.94,On
1209,78.9,On
1205,78.39,On
1241,78.39,On
1181,78.9,On
1209,78.97,On
1185,78.9,On
1212,78.94,On
1181,78.97,On
1209,78.94,On
1184,78.94,On
1206,78.9,On
1181,78.9,On
1207,78.94,On
1185,78.9,On
1208,79.01,On
1180,78.94,On
1207,78.94,On
1185,78.86,On
1225,78.53,On
1182,78.94,On
1207,78.94,On
1186,78.94,On
1209,78.97,On
1183,78.94,On
1207,78.97,On
1184,78.9,On
1209,78.94,On
1179,78.86,On
1237,78.35,On
1185,78.86,On
1209,78.94,On
1181,78.9,On
1206,78.94,On
1183,78.94,On
1206,78.94,On
1181,78.97,On
1204,78.9,On
1185,79.01,On
1207,78.86,On
1181,78.97,On
1208,78.9,On
1186,78.97,On
1211,78.94,On
1188,78.68,On
1241,78.39,On
1184,78.94,On
1209,78.94,On
1180,78.9,On
1206,79.01,On
1190,78.72,On
1209,78.9,On
1181,78.9,On
1206,78.94,On
1183,78.83,On
1207,78.97,On
1201,78.57,On
1205,78.97,On
1185,78.94,On
1212,78.72,On
1182,78.94,On
1239,78.35,On
1184,78.9,On
1207,78.86,On
1183,79.01,On
1205,78.9,On
1183,78.97,On
1206,78.86,On
1179,78.94,On
1204,78.94,On
1183,78.9,On
1207,78.94,On
1182,78.83,On
1207,78.97,On
1184,78.83,On
1207,78.9,On
1183,78.9,On
1209,78.94,On
1184,78.94,On
1208,78.94,On
1181,78.86,On
1209,79.01,On
1184,78.9,On
1206,79.01,On
1200,78.43,On
1207,78.83,On
1184,78.9,On
1205,78.97,On
1181,78.94,On
1207,78.97,On
1183,78.86,On
1205,78.86,On
1178,78.86,On
1237,78.35,On
1183,78.94,On
1207,78.9,On
1181,78.97,On
1206,78.94,On
1187,78.94,On
1208,78.9,On
1203,78.57,On
1208,78.94,On
1187,79.01,On
1210,78.94,On
1199,78.46,On
1207,78.94,On
1185,78.94,On
1205,78.97,On
1180,78.9,On
1207,78.9,On
1183,78.86,On
1207,79.01,On
1179,78.94,On
1220,78.46,On
1185,78.9,On
1225,78.5,On
1181,78.97,On
1204,78.9,On
1184,78.94,On
1205,78.86,On
1181,78.94,On
1207,78.9,On
1205,78.53,On
1208,78.9,On
1193,78.79,On
1205,78.94,On
1182,78.94,On
1209,78.97,On
1180,78.9,On
1209,78.94,On
1184,78.9,On
1200,79.19,On
1181,79.01,On
1213,78.72,On
1184,78.9,On
1206,78.94,On
1188,78.64,On
1207,78.9,On
1203,78.5,On
1208,78.94,On
1166,79.3,On
1212,79.08,On
1186,79.34,On
1200,79.41,On
1178,79.3,On
1212,79.16,On
1182,79.34,On
1197,79.37,On
1216,78.94,On
1236,78.9,On
1224,78.9,On
1238,78.9,On
1205,79.01,On
1219,78.97,On
1218,78.9,On
1238,78.94,On
1215,78.94,On
1231,78.83,On
1216,78.9,On
1232,78.9,On
1214,78.97,On
1228,78.9,On
1216,78.94,On
1231,78.9,On
1214,78.94,On
1229,78.9,On
1218,78.9,On
1232,78.9,On
1215,78.9,On
1228,78.9,On
1218,78.9,On
1234,78.97,On
1212,78.9,On
1234,78.97,On
1207,78.97,On
1229,78.86,On
1211,78.94,On
1226,78.9,On
1215,78.83,On
1220,78.97,On
1201,79.01,On
1216,78.9,On
1216,78.9,On
1232,78.9,On
1212,78.9,On
1229,78.9,On
1215,78.83,On
1232,79.01,On
1211,78.86,On
1230,78.94,On
1216,78.83,On
1228,78.86,On
1213,78.75,On
1227,78.9,On
1219,78.9,On
1232,78.9,On
1222,78.83,On
1229,78.97,On
1217,78.94,On
1231,78.86,On
1213,78.94,On
1228,78.94,On
1212,78.9,On
1233,78.9,On
1213,78.86,On
1230,78.97,On
1215,78.86,On
1228,78.9,On
1214,78.79,On
1231,78.94,On
1214,78.86,On
1227,78.97,On
1211,78.86,On
1226,78.9,On
1216,78.9,On
1233,78.9,On
1206,78.97,On
1238,78.97,On
1225,78.9,On
1241,78.9,On
1226,78.86,On
1248,78.9,On
1241,78.94,On
1256,78.9,On
1246,78.9,On
1263,78.9,On
1252,78.9,On
1275,78.94,On
1259,78.94,On
1276,78.86,On
1271,78.97,On
1286,78.86,On
1272,78.9,On
1288,78.94,On
1285,78.9,On
1299,78.9,On
1293,78.9,On
1311,78.97,On
1304,78.94,On
1327,78.97,On
1320,78.94,On
1336,78.94,On
1332,78.9,On
1349,78.97,On
1341,78.94,On
1354,78.94,On
1353,78.97,On
1364,78.97,On
1357,78.94,On
1368,78.97,On
1362,78.86,On
1372,78.97,On
1365,78.83,On
1375,78.94,On
1370,78.94,On
1381,79.05,On
1366,78.94,On
1376,78.97,On
1365,78.94,On
1377,78.97,On
1360,78.94,On
1371,79.01,On
1363,79.01,On
1365,78.94,On
1347,78.94,On
1358,78.97,On
1344,79.01,On
1354,78.97,On
1335,78.97,On
1340,78.94,On
1327,78.97,On
1333,78.97,On
1314,78.97,On
1319,78.94,On
1311,78.9,On
1314,78.94,On
1293,78.83,On
1302,78.97,On
1285,78.9,On
1292,78.9,On
1271,78.94,On
1279,78.9,On
1265,78.9,On
1274,78.9,On
1239,78.94,On
1250,79.01,On
1226,78.94,On
1239,79.01,On
1226,78.86,On
1239,78.97,On
1220,78.94,On
1223,78.97,On
1208,78.83,On
1221,78.94,On
1205,78.97,On
1216,78.86,On
1203,78.86,On
1211,78.94,On
1190,78.86,On
1218,78.94,On
1186,78.9,On
1204,78.83,On
1188,78.9,On
1207,78.86,On
1186,78.9,On
1204,78.79,On
1188,78.83,On
1209,78.83,On
1188,78.9,On
1210,78.83,On
1197,78.86,On
1220,78.9,On
1196,78.83,On
1218,78.86,On
1206,78.86,On
1236,78.94,On
1209,78.86,On
1234,78.97,On
1222,78.83,On
1244,78.94,On
1224,78.86,On
1247,78.94,On
1235,78.83,On
1258,78.94,On
1250,78.86,On
1265,78.9,On
1256,78.97,On
1277,78.97,On
1263,78.97,On
1284,77.81,On
1274,78.9,On
1290,78.86,On
1279,78.94,On
1304,78.94,On
1298,78.9,On
1311,78.9,On
1298,78.9,On
1320,78.97,On
1312,78.94,On
1328,78.94,On
1320,78.97,On
1337,79.01,On
1331,78.97,On
1346,78.9,On
1336,79.01,On
1348,78.97,On
1341,78.94,On
1353,78.97,On
1339,78.86,On
1355,79.01,On
1343,78.97,On
1358,79.05,On
1340,78.94,On
1350,78.97,On
1332,78.94,On
1349,79.01,On
1329,78.97,On
1339,78.94,On
1325,78.97,On
1330,78.94,On
1308,78.94,On
1320,78.94,On
1304,78.97,On
1314,78.94,On
1291,78.94,On
1303,78.9,On
1287,78.94,On
1291,78.9,On
1268,78.9,On
1281,78.9,On
1263,78.97,On
1273,78.9,On
1245,78.94,On
1261,78.9,On
1237,78.9,On
1250,78.9,On
1225,78.83,On
1240,78.9,On
1220,78.79,On
1233,78.94,On
1208,78.86,On
1222,78.79,On
1203,78.9,On
1218,78.86,On
1199,78.86,On
1216,78.79,On
1190,78.9,On
1208,78.9,On
1184,78.79,On
1202,78.9,On
1182,78.83,On
1203,78.86,On
1179,78.83,On
1204,78.94,On
1185,78.9,On
1209,78.94,On
1181,78.83,On
1208,78.86,On
1191,78.83,On
1216,78.83,On
1184,78.94,On
1220,78.94,On
1205,78.9,On
1226,78.94,On
1208,78.94,On
1235,78.94,On
1217,78.9,On
1240,78.86,On
1224,78.94,On
1249,78.86,On
1238,78.94,On
1258,78.9,On
1242,78.9,On
1267,78.9,On
1257,78.94,On
1279,78.94,On
1263,78.97,On
1285,79.01,On
1272,78.83,On
1295,78.94,On
1279,78.9,On
1302,78.94,On
1291,78.9,On
1309,78.9,On
1301,78.94,On
1316,78.97,On
1314,78.94,On
1333,78.94,On
1318,78.9,On
1338,79.01,On
1330,78.94,On
1350,78.94,On
1337,78.94,On
1352,78.97,On
1347,78.94,On
1366,78.94,On
1351,78.86,On
1354,79.12,On
1352,78.94,On
1366,78.97,On
1348,78.94,On
1360,78.94,On
1349,79.01,On
1357,78.9,On
1346,79.01,On
1352,78.97,On
1335,79.01,On
1344,78.86,On
1324,78.97,On
1335,78.94,On
1323,78.94,On
1329,78.94,On
1302,78.86,On
1315,78.94,On
1298,79.01,On
1305,78.9,On
1280,78.9,On
1294,78.94,On
1274,78.94,On
1288,79.01,On
1259,78.94,On
1276,78.97,On
1253,78.83,On
1267,78.97,On
1240,78.94,On
1258,78.94,On
1232,78.86,On
1248,78.94,On
1219,78.94,On
1235,78.9,On
1213,78.86,On
1228,78.94,On
1202,78.94,On
1221,78.86,On
1198,78.9,On
1218,78.9,On
1196,78.9,On
1211,78.9,On
1190,78.94,On
1208,78.9,On
1186,78.97,On
1208,78.86,On
1191,78.83,On
1209,78.9,On
1179,78.83,On
1208,78.86,On
1191,78.86,On
1223,78.9,On
1192,78.86,On
1216,78.9,On
1202,78.86,On
1224,78.94,On
1207,78.9,On
1231,78.97,On
1218,78.9,On
1243,78.94,On
1220,78.86,On
1250,78.97,On
1234,78.83,On
1260,78.9,On
1244,78.86,On
1275,78.9,On
1260,78.9,On
1280,78.9,On
1271,78.97,On
1291,78.94,On
1280,78.97,On
1307,78.83,On
1293,78.97,On
1302,78.94,On
1306,78.97,On
1327,78.9,On
1318,78.97,On
1338,78.97,On
1329,78.86,On
1346,78.97,On
1342,78.94,On
1352,79.01,On
1344,78.9,On
1360,78.97,On
1348,78.94,On
1363,78.97,On
1352,78.83,On
1369,78.97,On
1353,78.94,On
1363,78.97,On
1352,78.9,On
1364,79.01,On
1340,78.9,On
1359,78.97,On
1341,78.97,On
1352,78.97,On
1330,78.94,On
1343,78.97,On
1328,78.86,On
1332,78.97,On
1311,78.94,On
1325,78.94,On
1308,78.9,On
1320,78.94,On
1288,78.94,On
1304,78.86,On
1287,78.94,On
1297,78.9,On
1274,78.97,On
1285,78.94,On
1266,78.94,On
1278,78.9,On
1251,78.94,On
1264,78.9,On
1243,78.94,On
1258,78.97,On
1231,78.97,On
1244,78.9,On
1222,78.9,On
1242,78.94,On
1212,78.94,On
1230,78.94,On
1207,78.86,On
1223,78.79,On
1197,78.9,On
1222,78.94,On
1192,78.86,On
1216,78.94,On
1191,78.9,On
1212,78.86,On
1194,78.9,On
1216,78.83,On
1196,78.79,On
1219,78.97,On
1199,78.86,On
1231,78.9,On
1200,78.86,On
1227,78.9,On
1215,78.83,On
1233,78.9,On
1220,78.83,On
1239,78.9,On
1224,78.9,On
1251,78.9,On
1232,78.86,On
1261,78.97,On
1247,79.01,On
1268,78.94,On
1251,78.94,On
1273,78.9,On
1265,78.94,On
1288,78.94,On
1273,78.94,On
1302,78.9,On
1292,78.94,On
1312,78.94,On
1290,78.83,On
1317,78.97,On
1307,78.94,On
1325,78.97,On
1319,78.97,On
1332,78.97,On
1322,78.94,On
1342,78.97,On
1330,78.9,On
1350,78.97,On
1342,78.94,On
1358,79.01,On
1342,78.9,On
1361,79.08,On
1350,78.94,On
1367,78.97,On
1352,79.01,On
1359,79.08,On
1354,78.97,On
1366,78.97,On
1351,79.05,On
1364,79.05,On
1348,78.94,On
1362,78.97,On
1338,78.94,On
1352,79.01,On
1333,78.94,On
1346,78.97,On
1322,78.86,On
1336,78.9,On
1320,78.94,On
1330,78.97,On
1307,78.94,On
1316,78.97,On
1306,79.01,On
1315,78.97,On
1289,78.94,On
1300,78.86,On
1281,78.94,On
1294,78.9,On
1272,78.9,On
1284,78.94,On
1262,78.9,On
1278,78.94,On
1258,78.9,On
1270,78.94,On
1247,78.9,On
1263,78.97,On
1242,78.9,On
1259,78.83,On
1236,78.86,On
1250,78.97,On
1221,78.9,On
1240,78.9,On
1216,78.94,On
1236,78.83,On
1209,78.94,On
1229,78.86,On
1211,78.86,On
1227,78.9,On
1202,78.9,On
1226,78.94,On
1202,78.79,On
1226,78.9,On
1201,78.83,On
1230,78.94,On
1214,78.86,On
1230,78.9,On
1207,78.86,On
1229,78.83,On
1213,78.94,On
1242,78.9,On
1217,78.94,On
1244,78.97,On
1224,78.9,On
1250,78.94,On
1229,78.86,On
1258,78.97,On
1246,78.9,On
1267,78.97,On
1251,78.94,On
1275,78.97,On
1263,78.94,On
1283,78.86,On
1266,78.94,On
1288,78.83,On
1279,78.94,On
1301,78.9,On
1286,78.94,On
1307,78.94,On
1296,78.86,On
1323,78.9,On
1307,78.94,On
1326,78.97,On
1315,78.94,On
1333,78.97,On
1320,78.94,On
1338,78.94,On
1332,79.01,On
1353,78.9,On
1340,78.94,On
1346,79.05,On
1344,78.94,On
1356,78.9,On
1342,78.94,On
1356,78.94,On
1347,78.9,On
1363,79.01,On
1350,78.97,On
1358,78.94,On
1346,78.9,On
1357,78.86,On
1340,78.97,On
1353,78.97,On
1338,79.01,On
1352,78.97,On
1328,78.97,On
1343,78.97,On
1324,79.01,On
1338,78.97,On
1314,78.94,On
1329,78.97,On
1306,78.86,On
1323,78.94,On
1299,79.01,On
1309,78.97,On
1286,78.9,On
1301,79.05,On
1278,78.94,On
1288,78.86,On
1271,78.9,On
1285,78.94,On
1258,78.97,On
1280,78.94,On
1252,78.97,On
1266,78.9,On
1238,78.9,On
1259,78.97,On
1232,78.94,On
1248,78.9,On
1222,78.94,On
1240,78.86,On
1221,78.83,On
1235,78.94,On
1206,78.9,On
1226,79.01,On
1206,78.86,On
1224,78.94,On
1200,78.9,On
1220,78.9,On
1196,78.94,On
1228,78.9,On
1194,78.97,On
1219,78.86,On
1196,78.86,On
1220,78.9,On
1200,78.9,On
1227,78.9,On
1206,78.83,On
1232,78.94,On
1212,78.86,On
1239,78.97,On
1222,78.83,On
1247,79.05,On
1227,78.86,On
1255,78.97,On
1238,78.9,On
1262,78.94,On
1246,78.9,On
1272,78.94,On
1261,78.97,On
1282,78.94,On
1265,78.94,On
1291,78.94,On
1280,78.94,On
1299,78.94,On
1288,78.9,On
1309,78.9,On
1301,78.94,On
1321,78.94,On
1310,78.9,On
1328,78.94,On
1322,78.86,On
1342,78.94,On
1329,78.94,On
1346,78.97,On
1339,79.01,On
1355,78.97,On
1339,78.94,On
1354,78.94,On
1345,79.01,On
1356,78.97,On
1346,78.94,On
1352,78.94,On
1342,78.94,On
1354,79.01,On
1336,78.97,On
1344,78.94,On
1335,78.97,On
1343,78.97,On
1322,78.9,On
1337,78.97,On
1327,78.94,On
1322,79.08,On
1307,78.94,On
1320,78.97,On
1302,79.01,On
1312,78.94,On
1286,78.94,On
1301,78.86,On
1283,78.94,On
1294,78.97,On
1273,78.97,On
1282,78.86,On
1261,78.83,On
1279,78.97,On
1251,78.9,On
1267,78.94,On
1250,78.9,On
1258,78.9,On
1236,78.9,On
1252,78.9,On
1234,78.94,On
1245,78.86,On
1218,78.97,On
1228,78.94,On
1216,78.94,On
1234,78.86,On
1209,78.86,On
1226,78.83,On
1204,78.83,On
1226,78.9,On
1200,78.79,On
1223,78.9,On
1205,78.83,On
1224,78.9,On
1202,78.9,On
1224,78.9,On
1208,78.9,On
1229,78.94,On
1208,78.86,On
1231,78.97,On
1215,79.01,On
1238,78.9,On
1217,78.9,On
1236,78.86,On
1222,78.97,On
1243,78.97,On
1221,78.86,On
1244,78.97,On
1227,78.9,On
1252,78.86,On
1232,78.83,On
1254,78.86,On
1243,78.94,On
1250,78.94,On
1230,78.97,On
1253,78.97,On
1233,78.9,On
1248,78.94,On
1232,79.01,On
1250,78.83,On
1231,78.9,On
1248,78.86,On
1229,78.86,On
1246,78.9,On
1231,78.94,On
1244,78.86,On
1224,78.9,On
1245,78.9,On
1229,78.9,On
1249,78.97,On
1229,78.9,On
1248,78.94,On
1232,78.9,On
1251,78.94,On
1228,78.86,On
1250,78.94,On
1235,78.94,On
1250,78.94,On
1235,78.94,On
1248,78.86,On
1226,78.9,On
1254,78.9,On
1227,78.94,On
1245,78.9,On
1226,78.86,On
1247,78.94,On
1226,78.9,On
1246,78.94,On
1231,78.9,On
1246,78.94,On
1224,78.86,On
1247,78.94,On
1234,78.9,On
1248,78.9,On
1231,78.94,On
1247,78.9,On
1228,78.86,On
1251,78.83,On
1227,78.94,On
